timestamp,title,company_name,headquarters,post_date,categories,offer_url
2026-04-18 16:34:36,Senior DevOps Engineer (m/w/d),blau direkt,"Remote / Deutschlandweit, Pforzheim",2026-04-07,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/blau-direkt-senior-devops-engineer-m-w-d
2026-04-18 16:34:36,Full Stack WordPress Developer (m/f/d) with DevOps Skills,Dr.kaske,"Belgrad, Remote",2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/dr-kaske-full-stack-wordpress-developer-m-f-d-with-devops-skills
2026-04-18 16:34:36,Senior DevOps Engineer - Delivery & Infrastructure Automation (m/f/d),Greenbone,Homeoffice,2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/greenbone-senior-devops-engineer-delivery-infrastructure-automation-m-f-d
2026-04-18 16:34:36,Full Stack WordPress Developer (m/f/d) with DevOps Skills,Smile.ai,"Belgrad, Remote",2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/smile-ai-full-stack-wordpress-developer-m-f-d-with-devops-skills
2026-04-18 16:34:36,Senior DevOps Engineer 2 (Power Platform Engineer),Sophos,United States / Canada,2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/sophos-senior-devops-engineer-2-power-platform-engineer
2026-04-18 16:34:36,DevOps Technical Lead,3pillar,Mexico,2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/3pillar-devops-technical-lead
2026-04-18 16:34:36,DevOps Engineer | Mid-Senior | Saily,Nord Security,Warsaw,2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/nord-security-devops-engineer-mid-senior-saily
2026-04-18 16:34:36,DevOps Engineer | Mid-Senior | Saily,Nord Security,Vilnius / Kaunas,2026-04-09,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/nord-security-devops-engineer-mid-senior-saily
2026-04-18 16:34:36,DevOps Engineer (Homeoffice möglich),Zollsoft Gmbh,"Jena,Hamburg,Berlin,Stuttgart,Frankfurt,München",2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/zollsoft-gmbh-devops-engineer-homeoffice-moglich
2026-04-18 16:34:36,DevOps Engineer (gn) / full-remote,Workidentity,"Hamburg, Hamburg / Berlin / Remote",2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/workidentity-devops-engineer-gn-full-remote
